inventory_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,reorder_level,is_below_reorder
INV-P0102-WH-NORTH-20220401,P0102,WH-NORTH,2022-04-01,237,121,False
INV-P0302-WH-CENTRAL-20220531,P0302,WH-CENTRAL,2022-05-31,571,104,False
INV-P0320-WH-CENTRAL-20230426,P0320,WH-CENTRAL,2023-04-26,1143,93,False
INV-P0069-WH-SOUTH-20220101,P0069,WH-SOUTH,2022-01-01,894,40,False
INV-P0067-WH-SOUTH-20220501,P0067,WH-SOUTH,2022-05-01,556,40,False
INV-P0409-WH-NORTH-20221227,P0409,WH-NORTH,2022-12-27,670,126,False
INV-P0119-WH-CENTRAL-20230923,P0119,WH-CENTRAL,2023-09-23,982,35,False
INV-P0122-WH-NORTH-20220302,P0122,WH-NORTH,2022-03-02,841,68,False
INV-P0075-WH-CENTRAL-20230426,P0075,WH-CENTRAL,2023-04-26,1001,117,False
INV-P0267-WH-EAST-20231023,P0267,WH-EAST,2023-10-23,1516,146,False
INV-P0428-WH-NORTH-20230327,P0428,WH-NORTH,2023-03-27,1176,117,False
INV-P0175-WH-EAST-20230725,P0175,WH-EAST,2023-07-25,780,23,False
INV-P0041-WH-SOUTH-20220131,P0041,WH-SOUTH,2022-01-31,1019,126,False
INV-P0188-WH-EAST-20220401,P0188,WH-EAST,2022-04-01,1051,75,False
INV-P0363-WH-SOUTH-20231023,P0363,WH-SOUTH,2023-10-23,1672,91,False
INV-P0211-WH-CENTRAL-20220501,P0211,WH-CENTRAL,2022-05-01,323,115,False
INV-P0242-WH-EAST-20230824,P0242,WH-EAST,2023-08-24,681,110,False
INV-P0377-WH-SOUTH-20230126,P0377,WH-SOUTH,2023-01-26,1180,52,False
INV-P0166-WH-CENTRAL-20220630,P0166,WH-CENTRAL,2022-06-30,761,146,False
INV-P0273-WH-SOUTH-20231023,P0273,WH-SOUTH,2023-10-23,826,135,False
INV-P0209-WH-EAST-20230225,P0209,WH-EAST,2023-02-25,211,150,False
INV-P0340-WH-WEST-20230725,P0340,WH-WEST,2023-07-25,1464,148,False
INV-P0238-WH-CENTRAL-20230923,P0238,WH-CENTRAL,2023-09-23,870,26,False
INV-P0117-WH-NORTH-20231023,P0117,WH-NORTH,2023-10-23,620,103,False
INV-P0253-WH-EAST-20231023,P0253,WH-EAST,2023-10-23,477,48,False
